Name                                                                                                         Stmts   Miss  Cover
env/lib/python3.6/site-packages/chardet/escprober.py                                                            56     45    20%
env/lib/python3.6/site-packages/chardet/escsm.py                                                                17      0   100%
env/lib/python3.6/site-packages/chardet/eucjpprober.py                                                          47     34    28%
env/lib/python3.6/site-packages/chardet/euckrfreq.py                                                             3      0   100%
env/lib/python3.6/site-packages/chardet/euckrprober.py                                                          14      6    57%
env/lib/python3.6/site-packages/chardet/euctwfreq.py                                                             3      0   100%
env/lib/python3.6/site-packages/chardet/euctwprober.py                                                          14      6    57%
env/lib/python3.6/site-packages/chardet/gb2312freq.py                                                            3      0   100%
env/lib/python3.6/site-packages/chardet/gb2312prober.py                                                         14      6    57%
env/lib/python3.6/site-packages/chardet/hebrewprober.py                                                         74     48    35%
env/lib/python3.6/site-packages/chardet/jisfreq.py                                                               3      0   100%
env/lib/python3.6/site-packages/chardet/jpcntx.py                                                               80     61    24%
env/lib/python3.6/site-packages/chardet/langbulgarianmodel.py                                                    5      0   100%
env/lib/python3.6/site-packages/chardet/langcyrillicmodel.py                                                    13      0   100%
env/lib/python3.6/site-packages/chardet/langgreekmodel.py                                                        5      0   100%
env/lib/python3.6/site-packages/chardet/langhebrewmodel.py                                                       3      0   100%
env/lib/python3.6/site-packages/chardet/langthaimodel.py                                                         3      0   100%
env/lib/python3.6/site-packages/chardet/langturkishmodel.py                                                      3      0   100%
env/lib/python3.6/site-packages/chardet/latin1prober.py                                                         50     29    42%
env/lib/python3.6/site-packages/chardet/mbcharsetprober.py                                                      42     33    21%
env/lib/python3.6/site-packages/chardet/mbcsgroupprober.py                                                      14      3    79%
env/lib/python3.6/site-packages/chardet/mbcssm.py                                                               41      0   100%
env/lib/python3.6/site-packages/chardet/sbcharsetprober.py                                                      73     60    18%
env/lib/python3.6/site-packages/chardet/sbcsgroupprober.py                                                      19      8    58%
env/lib/python3.6/site-packages/chardet/sjisprober.py                                                           47     34    28%
env/lib/python3.6/site-packages/chardet/universaldetector.py                                                   124    104    16%
env/lib/python3.6/site-packages/chardet/utf8prober.py                                                           41     29    29%
env/lib/python3.6/site-packages/chardet/version.py                                                               2      0   100%
env/lib/python3.6/site-packages/corsheaders/__init__.py                                                          2      0   100%
env/lib/python3.6/site-packages/corsheaders/checks.py                                                           44     19    57%
env/lib/python3.6/site-packages/corsheaders/conf.py                                                             24      0   100%
env/lib/python3.6/site-packages/corsheaders/defaults.py                                                          2      0   100%
env/lib/python3.6/site-packages/coverage/backward.py                                                           100     99     1%
env/lib/python3.6/site-packages/coverage/collector.py                                                          197    191     3%
env/lib/python3.6/site-packages/coverage/control.py                                                            534    532     1%
env/lib/python3.6/site-packages/coverage/execfile.py                                                           156    126    19%
env/lib/python3.6/site-packages/coverage/phystokens.py                                                         146    138     5%
env/lib/python3.6/site-packages/coverage/python.py                                                             129    113    12%
env/lib/python3.6/site-packages/dataclasses.py                                                                 351    149    58%
env/lib/python3.6/site-packages/django/__init__.py                                                              12      0   100%
env/lib/python3.6/site-packages/django/apps/__init__.py                                                          3      0   100%
env/lib/python3.6/site-packages/django/apps/config.py                                                           88     25    72%
env/lib/python3.6/site-packages/django/apps/registry.py                                                        174     36    79%
env/lib/python3.6/site-packages/django/conf/__init__.py                                                        128     45    65%
env/lib/python3.6/site-packages/django/conf/global_settings.py                                                 142      0   100%
env/lib/python3.6/site-packages/django/conf/locale/__init__.py                                                   1      0   100%
env/lib/python3.6/site-packages/django/conf/urls/__init__.py                                                     9      0   100%
env/lib/python3.6/site-packages/django/contrib/__init__.py                                                       0      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/__init__.py                                                10      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/actions.py                                                 30     21    30%
env/lib/python3.6/site-packages/django/contrib/admin/apps.py                                                    15      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/checks.py                                                 459    230    50%
env/lib/python3.6/site-packages/django/contrib/admin/decorators.py                                              14      3    79%
env/lib/python3.6/site-packages/django/contrib/admin/exceptions.py                                               5      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/filters.py                                                211    147    30%
env/lib/python3.6/site-packages/django/contrib/admin/helpers.py                                                234    175    25%
env/lib/python3.6/site-packages/django/contrib/admin/migrations/0001_initial.py                                  6      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/migrations/0002_logentry_remove_auto_add.py                 5      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/migrations/0003_logentry_add_action_flag_choices.py         4      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/migrations/__init__.py                                      0      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/models.py                                                  84     46    45%
env/lib/python3.6/site-packages/django/contrib/admin/options.py                                               1042    797    24%
env/lib/python3.6/site-packages/django/contrib/admin/sites.py                                                  226    111    51%
env/lib/python3.6/site-packages/django/contrib/admin/templatetags/__init__.py                                    0      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/templatetags/admin_list.py                                221    182    18%
env/lib/python3.6/site-packages/django/contrib/admin/templatetags/admin_modify.py                               51     40    22%
env/lib/python3.6/site-packages/django/contrib/admin/templatetags/admin_static.py                                8      2    75%
env/lib/python3.6/site-packages/django/contrib/admin/templatetags/admin_urls.py                                 38     28    26%
env/lib/python3.6/site-packages/django/contrib/admin/templatetags/base.py                                       15     10    33%
env/lib/python3.6/site-packages/django/contrib/admin/templatetags/log.py                                        29     21    28%
env/lib/python3.6/site-packages/django/contrib/admin/utils.py                                                  302    242    20%
env/lib/python3.6/site-packages/django/contrib/admin/views/__init__.py                                           0      0   100%
env/lib/python3.6/site-packages/django/contrib/admin/views/autocomplete.py                                      25     16    36%
env/lib/python3.6/site-packages/django/contrib/admin/views/decorators.py                                         7      1    86%
env/lib/python3.6/site-packages/django/contrib/admin/views/main.py                                             301    264    12%
env/lib/python3.6/site-packages/django/contrib/admin/widgets.py                                                256    167    35%
env/lib/python3.6/site-packages/django/contrib/admindocs/__init__.py                                             1      0   100%
env/lib/python3.6/site-packages/django/contrib/admindocs/utils.py                                              114     93    18%
env/lib/python3.6/site-packages/django/contrib/admindocs/views.py                                              210    159    24%
env/lib/python3.6/site-packages/django/contrib/auth/__init__.py                                                120     90    25%
env/lib/python3.6/site-packages/django/contrib/auth/admin.py                                                   101     50    50%
env/lib/python3.6/site-packages/django/contrib/auth/apps.py                                                     20      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/backends.py                                                 88     61    31%
env/lib/python3.6/site-packages/django/contrib/auth/base_user.py                                                67     33    51%
env/lib/python3.6/site-packages/django/contrib/auth/checks.py                                                   53     23    57%
env/lib/python3.6/site-packages/django/contrib/auth/decorators.py                                               37     21    43%
env/lib/python3.6/site-packages/django/contrib/auth/forms.py                                                   200    118    41%
env/lib/python3.6/site-packages/django/contrib/auth/hashers.py                                                 307    200    35%
env/lib/python3.6/site-packages/django/contrib/auth/management/__init__.py                                      66     30    55%
env/lib/python3.6/site-packages/django/contrib/auth/middleware.py                                               52     34    35%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0001_initial.py                                   7      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0002_alter_permission_name_max_length.py          4      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0003_alter_user_email_max_length.py               4      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0004_alter_user_username_opts.py                  5      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0005_alter_user_last_login_null.py                4      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0006_require_contenttypes_0002.py                 4      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0007_alter_validators_add_error_messages.py       5      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0008_alter_user_username_max_length.py            5      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0009_alter_user_last_name_max_length.py           4      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0010_alter_group_name_max_length.py               4      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/0011_update_proxy_permissions.py                 34     16    53%
env/lib/python3.6/site-packages/django/contrib/auth/migrations/__init__.py                                       0      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/models.py                                                  195     86    56%
env/lib/python3.6/site-packages/django/contrib/auth/password_validation.py                                     103     68    34%
env/lib/python3.6/site-packages/django/contrib/auth/signals.py                                                   4      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/tokens.py                                                   37     23    38%
env/lib/python3.6/site-packages/django/contrib/auth/validators.py                                               14      0   100%
env/lib/python3.6/site-packages/django/contrib/auth/views.py                                                   207    104    50%
env/lib/python3.6/site-packages/django/contrib/contenttypes/__init__.py                                          1      0   100%
